,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-11-06,14.6,14.78,13.78,13.87,10.155325999999999,108708400
1,2008-11-07,14.08,14.76,14.02,14.63,10.711782000000001,73428200
2,2008-11-10,15.01,15.06,14.23,14.35,10.506772999999999,52853700
3,2008-11-11,14.03,14.18,13.46,13.93,10.199258,84853800
4,2008-11-12,13.55,13.97,13.51,13.52,9.899061999999999,72675400
5,2008-11-13,13.04,14.44,12.87,14.43,10.565347000000001,143460400
6,2008-11-14,14.07,14.12,13.24,13.32,9.752626,74873700
7,2008-11-17,13.21,13.48,13.0,13.0,9.51833,60210900
8,2008-11-18,13.12,13.23,12.51,13.11,9.598868,96916400
9,2008-11-19,13.01,13.26,12.47,12.49,9.144917,73707700
10,2008-11-20,12.28,13.15,12.17,12.23,8.95455,114060100
11,2008-11-21,12.45,13.17,12.06,13.11,9.598868,104114400
12,2008-11-24,13.33,13.7,13.12,13.56,9.928352,98132700
13,2008-11-25,13.78,13.85,13.11,13.13,9.613514,84213900
14,2008-11-26,13.04,13.99,13.01,13.97,10.228542,71468300
15,2008-11-28,13.79,14.03,13.68,13.8,10.104074,26023500
16,2008-12-01,13.46,13.57,12.55,12.56,9.196171000000001,60830800
17,2008-12-02,12.92,13.33,12.62,13.28,9.723339999999999,63839000
18,2008-12-03,12.74,13.67,12.72,13.66,10.001567999999999,77247200
19,2008-12-04,13.36,13.49,12.72,12.77,9.349929,78387100
20,2008-12-05,12.71,13.35,12.38,13.29,9.730659,85179900
21,2008-12-08,13.56,14.01,13.45,13.94,10.206576,78042400
22,2008-12-09,13.64,14.69,13.49,14.3,10.470167,88120000
23,2008-12-10,14.26,14.8,13.75,14.27,10.448196000000001,74889000
24,2008-12-11,14.24,14.6,13.98,14.01,10.257833,73846300
25,2008-12-12,13.7,14.83,13.69,14.75,10.799643,69873000
26,2008-12-15,14.75,14.94,14.32,14.59,10.682496,60647200
27,2008-12-16,14.72,15.68,14.62,15.64,11.451283,100659300
28,2008-12-17,15.41,15.52,15.02,15.26,11.173053999999999,66997400
29,2008-12-18,15.06,15.19,14.09,14.26,10.440876,74156300
30,2008-12-19,14.42,14.82,14.26,14.44,10.572667,72433900
31,2008-12-22,14.48,14.58,14.0,14.34,10.499449,42388700
32,2008-12-23,14.44,14.49,14.02,14.07,10.30176,33805400
33,2008-12-24,14.06,14.33,14.05,14.23,10.418906,11410800
34,2008-12-26,14.21,14.31,14.06,14.18,10.382302000000001,14813900
35,2008-12-29,14.24,14.35,13.91,14.13,10.345694,31939500
36,2008-12-30,14.32,14.8,14.31,14.69,10.755711999999999,37105200
37,2008-12-31,14.71,14.92,14.56,14.66,10.733747,34063800
38,2009-01-02,14.69,15.25,14.47,15.2,11.129125,52208200
39,2009-01-05,15.07,15.29,14.81,14.91,10.916792,57320400
40,2009-01-06,15.09,15.51,15.08,15.37,11.253594999999999,61631400
41,2009-01-07,14.79,15.06,14.34,14.44,10.572667,131389200
42,2009-01-08,14.45,14.57,14.25,14.55,10.653205999999999,63101600
43,2009-01-09,14.59,14.6,14.02,14.15,10.360337,45551100
44,2009-01-12,14.16,14.3,13.62,13.79,10.096752,54082500
45,2009-01-13,13.59,14.18,13.45,13.67,10.008891,65565100
46,2009-01-14,13.46,13.63,12.97,13.08,9.576902,69549600
47,2009-01-15,13.01,13.45,12.71,13.29,9.730659,73153900
48,2009-01-16,13.88,13.96,13.27,13.74,10.060141999999999,83985300
49,2009-01-20,13.56,13.74,12.81,12.86,9.415824,71563900
50,2009-01-21,13.01,13.26,12.5,13.26,9.708698,56622000
51,2009-01-22,12.83,13.07,12.55,12.82,9.386536999999999,72704000
52,2009-01-23,12.85,13.39,12.58,13.12,9.60619,63162200
53,2009-01-26,13.08,13.58,13.03,13.38,9.796555999999999,49562500
54,2009-01-27,13.51,13.95,13.5,13.81,10.111396000000001,45615800
55,2009-01-28,14.13,14.27,13.79,14.01,10.257833,57065400
56,2009-01-29,13.85,13.85,13.31,13.37,9.789238000000001,51354500
57,2009-01-30,13.45,13.5,12.9,12.9,9.445112,47000100
58,2009-02-02,12.82,13.71,12.75,13.63,9.979604,69886500
59,2009-02-03,13.67,13.79,13.29,13.73,10.052821,56695700
60,2009-02-04,13.78,14.56,13.71,13.88,10.267341,77692400
61,2009-02-05,13.65,14.4,13.53,14.25,10.541036,61024500
62,2009-02-06,14.44,14.88,14.21,14.73,10.896101,62677300
63,2009-02-09,14.64,15.05,14.54,14.91,11.029253,64735500
64,2009-02-10,14.78,15.15,14.04,14.08,10.415282000000001,94001200
65,2009-02-11,14.26,14.32,13.73,14.08,10.415282000000001,57378700
66,2009-02-12,13.81,14.0,13.49,14.0,10.356109,76366300
67,2009-02-13,13.91,14.26,13.85,13.88,10.267341,55953700
68,2009-02-17,13.56,13.73,13.21,13.21,9.771723,60690300
69,2009-02-18,13.32,13.7,13.09,13.36,9.882685,51305600
